# Constructed from biom file
#OTU ID	baseline_1	baseline_2	baseline_3	baseline_4	canola_1103_f23	canola_1103_s23	canola_112_f23	canola_112_s23	canola_603_f23	canola_603_s23	canola_707_f23	canola_707_s23	fallow_101_f23	fallow_101_s23	fallow_1112_f23	fallow_1112_s23	fallow_607_f23	fallow_607_s23	fallow_709_f23	fallow_709_s23
41da1f67db882e54aa2020701805031e	0.0	0.0	0.0	0.0	15.0	47.0	0.0	392.0	0.0	249.0	0.0	0.0	67.0	339.0	0.0	2154.0	0.0	66.0	6.0	366.0
10afda2baef44de4c584a6641de399b1	103.0	200.0	876.0	807.0	0.0	81.0	0.0	23.0	135.0	96.0	164.0	919.0	83.0	44.0	0.0	0.0	34.0	0.0	11.0	109.0
b66181a84b15aee60b1e2aa6c24dff9b	0.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	40.0	50.0	0.0	0.0	2890.0	0.0	0.0	173.0	360.0	104.0	0.0
e2b144d71492ca35bf923816cbfd1b4b	0.0	0.0	0.0	0.0	198.0	0.0	108.0	0.0	119.0	0.0	123.0	105.0	0.0	0.0	616.0	2220.0	0.0	0.0	42.0	0.0
3451ca2f91be08abaf168c5ac4341d88	0.0	0.0	0.0	0.0	0.0	0.0	1808.0	0.0	0.0	0.0	130.0	0.0	0.0	36.0	1548.0	0.0	0.0	0.0	0.0	0.0
7c628629eb3c8862ace990b4da97897e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3488.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ce7e5a01661fe3c5c867d6af36a4a307	0.0	0.0	0.0	0.0	0.0	0.0	267.0	1210.0	316.0	248.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1446.0
48454bd504b23d75d289a23f12faa874	2058.0	0.0	680.0	250.0	0.0	57.0	0.0	233.0	0.0	0.0	0.0	0.0	0.0	190.0	0.0	0.0	0.0	0.0	0.0	0.0
46eb7ba78ac8400789c5541c89dd771b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	0.0	3324.0	0.0	0.0
0ee6d50040be80f86189db48205efeb7	0.0	0.0	0.0	0.0	340.0	43.0	232.0	0.0	957.0	0.0	196.0	0.0	589.0	72.0	286.0	0.0	490.0	0.0	149.0	50.0
20a52efd3d637148f6aeaa0ec98f02e9	2897.0	37.0	0.0	363.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0
d5e939d1e52b34c6388954a8fb399005	0.0	0.0	0.0	0.0	174.0	0.0	0.0	0.0	870.0	3.0	130.0	0.0	484.0	95.0	266.0	0.0	416.0	72.0	784.0	0.0
f3b273f5377da3d28f3e86ae96ea809d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3207.0	0.0	0.0	0.0	0.0
159444bc0b813da46a659d21a4d714fe	0.0	0.0	0.0	0.0	89.0	0.0	241.0	0.0	390.0	0.0	211.0	0.0	861.0	0.0	451.0	0.0	332.0	9.0	618.0	0.0
36e31371eb1ad17d4cdc37bd7cda2d41	0.0	0.0	0.0	0.0	0.0	0.0	80.0	90.0	0.0	0.0	20.0	0.0	37.0	0.0	195.0	18.0	208.0	2051.0	41.0	411.0
f458495b7080cea7c14a2a25433349d8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3098.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80b1877021d234a5b668faf196a27b31	0.0	0.0	0.0	0.0	9.0	0.0	1110.0	0.0	173.0	0.0	191.0	0.0	593.0	83.0	173.0	0.0	68.0	0.0	639.0	0.0
2413cb6bb2dfa575423092d574c12002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2897.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a4f3e6ae3b76aacdb8f4612ffab38899	162.0	15.0	112.0	0.0	46.0	0.0	0.0	705.0	0.0	0.0	0.0	494.0	0.0	130.0	0.0	141.0	0.0	919.0	0.0	159.0
d762dc536a68af91af814797c79975ec	0.0	0.0	0.0	0.0	76.0	927.0	0.0	0.0	0.0	359.0	0.0	662.0	98.0	127.0	89.0	0.0	0.0	465.0	75.0	0.0
00cbede35b55b8a656000c678fe2a909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2820.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b9bc2762d1e85ec8666bbfe9983254fe	0.0	0.0	0.0	0.0	124.0	521.0	0.0	78.0	12.0	0.0	0.0	65.0	24.0	1639.0	0.0	0.0	0.0	181.0	58.0	73.0
0449bbf201bf8fe771c79cfbeb1bf05d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2771.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d15bd1dcb9de71d7452648673a59f5b8	95.0	389.0	383.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	53.0	0.0	1580.0	38.0	86.0
73373d2d94551b3c53c3e01b6a02aeb3	168.0	54.0	707.0	203.0	0.0	1091.0	0.0	123.0	0.0	0.0	0.0	0.0	0.0	171.0	0.0	0.0	0.0	135.0	0.0	96.0
35d20da789dde8d76e4389fd6d30cc9d	0.0	0.0	0.0	0.0	11.0	74.0	172.0	10.0	499.0	0.0	528.0	0.0	54.0	61.0	624.0	18.0	282.0	0.0	387.0	5.0
3f42b5df6a3daf18f2075c8a0145342f	0.0	2697.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ca6721b44d66f71ba437b60cf503cd47	0.0	2695.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26b4b526e1e97e0a1322abc26264cfea	0.0	0.0	0.0	0.0	0.0	415.0	59.0	1626.0	0.0	0.0	0.0	0.0	0.0	154.0	0.0	0.0	0.0	214.0	0.0	171.0
