Feature ID	Taxon	Confidence
a4f3e6ae3b76aacdb8f4612ffab38899	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Pseudoroseomonas; s__Pseudoroseomonas aerophila	0.8319636739361923
d762dc536a68af91af814797c79975ec	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__; s__	0.9936728432783766
00cbede35b55b8a656000c678fe2a909	Unassigned	0.6212134177138091
b9bc2762d1e85ec8666bbfe9983254fe	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Micromonosporaceae; g__Actinoplanes; s__Actinoplanes digitatis	0.7472001637613725
0449bbf201bf8fe771c79cfbeb1bf05d	Unassigned	0.6170151015641065
d15bd1dcb9de71d7452648673a59f5b8	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter_B_887417	0.9999974271520848
73373d2d94551b3c53c3e01b6a02aeb3	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae; g__Microbacterium_A_383321	0.9992601766637157
35d20da789dde8d76e4389fd6d30cc9d	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Micromonosporaceae; g__Dactylosporangium	0.9997791702054207
3f42b5df6a3daf18f2075c8a0145342f	d__Bacteria	0.8045403840376895
ca6721b44d66f71ba437b60cf503cd47	Unassigned	0.6153668577428296
26b4b526e1e97e0a1322abc26264cfea	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Streptomycetales_400645; f__Streptomycetaceae_400641; g__Streptomyces_400150	0.9998018793775715
a759c2ceb519ebf954cac2c2257921a3	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter_B_887417	0.9993912402885419
ff197d4d5d992b47677225ac9165454a	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__; s__	0.9910554343084185
f8e966fd6a44aecf3991a7dd167fca57	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Micromonosporaceae; g__Micromonospora_H_372070	0.9843438358924594
123d460bfdb3cf77ea8b7e4de0aa2278	Unassigned	0.6137772574406053
44874e4cee4ca7e72a7053ae59b7c55c	d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__UBA10511; s__	0.9958020829800787
7cf674777241465ff8790fabeffc47e5	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__; s__	0.998997072918488
70bf42004aa1ca2a142f4a9e7e03d5fb	Unassigned	0.6190380569656537
971eb60b1020447dc394509ffc8c25d4	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Dongiales; f__Dongiaceae; g__Dongia_A; s__	0.9997723172858214
fdd232eec4a26fd2cabe0a8e3fc463e8	Unassigned	0.621349677497818
